country,rank,timestamp,total.total,month,timeRange.start,timeRange.end
RU,1,1640995200000,662094000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
UA,2,1640995200000,133411000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
BY,3,1640995200000,37438000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
KZ,4,1640995200000,37379000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
US,5,1640995200000,16403000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
DE,6,1640995200000,11863000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
UZ,7,1640995200000,10002000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
KG,8,1640995200000,7460000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
IL,9,1640995200000,5935000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
PL,10,1640995200000,5915000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
AZ,11,1640995200000,5779000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
MD,12,1640995200000,5559000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
LV,13,1640995200000,5199000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
AM,14,1640995200000,4323000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
GB,15,1640995200000,4092000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
CZ,16,1640995200000,3908000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
EE,17,1640995200000,3320000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
NL,18,1640995200000,3296000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
FR,19,1640995200000,3023000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
GE,20,1640995200000,2787000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
LT,21,1640995200000,2294000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
CA,22,1640995200000,2032000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
TR,23,1640995200000,1977000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
TJ,24,1640995200000,1778000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
ES,25,1640995200000,1671000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
IT,26,1640995200000,1663000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
FI,27,1640995200000,1451000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
BG,28,1640995200000,1406000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
TM,29,1640995200000,1397000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
SE,30,1640995200000,955000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
KR,31,1640995200000,930000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
AT,32,1640995200000,810000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
BR,33,1640995200000,773000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
CH,34,1640995200000,772000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
JP,35,1640995200000,770000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
IN,36,1640995200000,707000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
ID,37,1640995200000,676000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
AE,38,1640995200000,663000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
RO,39,1640995200000,662000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
--,40,1640995200000,625000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
GR,41,1640995200000,611000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
IR,42,1640995200000,599000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
EG,43,1640995200000,572000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
BE,44,1640995200000,556000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
TH,45,1640995200000,552000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
HU,46,1640995200000,522000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
SG,47,1640995200000,517000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
RS,48,1640995200000,502000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
CY,49,1640995200000,484000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
NO,50,1640995200000,468000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
IE,51,1640995200000,456000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
SK,52,1640995200000,442000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
VN,53,1640995200000,414000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
AU,54,1640995200000,404000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
HK,55,1640995200000,352000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
PT,56,1640995200000,348000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
MX,57,1640995200000,320000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
DK,58,1640995200000,309000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
PH,59,1640995200000,272000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
MN,60,1640995200000,244000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
TW,61,1640995200000,239000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
MY,62,1640995200000,215000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
LK,63,1640995200000,212000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
AR,64,1640995200000,194000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
LU,65,1640995200000,162000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
DO,66,1640995200000,155000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
ZA,67,1640995200000,148000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
ME,68,1640995200000,147000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
SI,69,1640995200000,144000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
HR,70,1640995200000,141000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
DZ,71,1640995200000,135000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
BD,72,1640995200000,119000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
SA,73,1640995200000,117000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
PK,74,1640995200000,111000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
MV,75,1640995200000,111000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
MK,76,1640995200000,92000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
NZ,77,1640995200000,85000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
MA,78,1640995200000,80000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
BA,79,1640995200000,73000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
EC,80,1640995200000,71000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
CO,81,1640995200000,70000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
IQ,82,1640995200000,67000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
CL,83,1640995200000,63000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
JO,84,1640995200000,62000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
PE,85,1640995200000,60000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
VE,86,1640995200000,55000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
QA,87,1640995200000,55000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
MT,88,1640995200000,47000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
SC,89,1640995200000,45000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
NG,90,1640995200000,44000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
LB,91,1640995200000,43000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
CU,92,1640995200000,42000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
TN,93,1640995200000,41000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
KH,94,1640995200000,41000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
AL,95,1640995200000,40000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
KE,96,1640995200000,33000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
SY,97,1640995200000,32000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
TZ,98,1640995200000,29000,2022-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z,2022-02-01T00:00:00.000Z
