country,rank,timestamp,total.total,month,timeRange.start,timeRange.end
UA,1,1672531200000,71683000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
PL,2,1672531200000,4133000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
DE,3,1672531200000,2375000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
US,4,1672531200000,2068000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
RU,5,1672531200000,1670000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
CZ,6,1672531200000,1028000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
GB,7,1672531200000,827000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
IT,8,1672531200000,616000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
FR,9,1672531200000,553000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
CA,10,1672531200000,530000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
NL,11,1672531200000,491000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
ES,12,1672531200000,404000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
SK,13,1672531200000,333000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
AT,14,1672531200000,258000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
RO,15,1672531200000,257000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
TR,16,1672531200000,222000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
CH,17,1672531200000,198000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
SE,18,1672531200000,193000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
--,19,1672531200000,184000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
BR,20,1672531200000,183000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
LT,21,1672531200000,171000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
IE,22,1672531200000,170000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
BE,23,1672531200000,158000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
BG,24,1672531200000,154000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
IL,25,1672531200000,145000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
FI,26,1672531200000,139000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
PT,27,1672531200000,138000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
BY,28,1672531200000,122000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
NO,29,1672531200000,122000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
HU,30,1672531200000,121000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
DK,31,1672531200000,113000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
EE,32,1672531200000,107000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
JP,33,1672531200000,87000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
MD,34,1672531200000,84000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
LV,35,1672531200000,82000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
MX,36,1672531200000,78000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
SG,37,1672531200000,74000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
GE,38,1672531200000,73000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
IN,39,1672531200000,71000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
HR,40,1672531200000,68000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
GR,41,1672531200000,67000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
KZ,42,1672531200000,63000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
AU,43,1672531200000,60000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
RS,44,1672531200000,53000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
PH,45,1672531200000,50000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
CY,46,1672531200000,39000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
ID,47,1672531200000,37000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
IR,48,1672531200000,34000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
EG,49,1672531200000,31000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
AE,50,1672531200000,31000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
MY,51,1672531200000,29000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
SI,52,1672531200000,29000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
TH,53,1672531200000,27000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
TW,54,1672531200000,27000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
HK,55,1672531200000,27000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
KR,56,1672531200000,26000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
ME,57,1672531200000,25000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
LU,58,1672531200000,25000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
AR,59,1672531200000,23000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
UZ,60,1672531200000,23000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
AZ,61,1672531200000,23000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
VN,62,1672531200000,21000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
BD,63,1672531200000,17000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
AM,64,1672531200000,16000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
IQ,65,1672531200000,15000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
MA,66,1672531200000,15000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
JO,67,1672531200000,15000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
KG,68,1672531200000,11000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
ZA,69,1672531200000,11000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
AL,70,1672531200000,11000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
IS,71,1672531200000,11000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
BA,72,1672531200000,10000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
PK,73,1672531200000,9000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
MT,74,1672531200000,8000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
MK,75,1672531200000,8000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
EC,76,1672531200000,8000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
PA,77,1672531200000,8000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
CO,78,1672531200000,8000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
CL,79,1672531200000,8000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
SA,80,1672531200000,8000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
NZ,81,1672531200000,7000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
VE,82,1672531200000,7000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
DZ,83,1672531200000,7000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
DO,84,1672531200000,6000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
TN,85,1672531200000,6000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
