country,rank,timestamp,total.total,month,timeRange.start,timeRange.end
RU,1,1577836800000,538823000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
UA,2,1577836800000,125013000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
KZ,3,1577836800000,39145000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
BY,4,1577836800000,35888000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
US,5,1577836800000,26906000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
DE,6,1577836800000,16428000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
UZ,7,1577836800000,8063000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
KG,8,1577836800000,6794000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
IL,9,1577836800000,5678000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
AZ,10,1577836800000,5134000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
FR,11,1577836800000,5102000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
LV,12,1577836800000,5050000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
MD,13,1577836800000,5011000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
PL,14,1577836800000,4753000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
AM,15,1577836800000,3977000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
NL,16,1577836800000,3407000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
GB,17,1577836800000,3391000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
EE,18,1577836800000,3297000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
CZ,19,1577836800000,3199000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
CA,20,1577836800000,2554000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
GE,21,1577836800000,2541000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
IT,22,1577836800000,2320000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
LT,23,1577836800000,2071000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
ES,24,1577836800000,1915000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
SE,25,1577836800000,1783000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
IN,26,1577836800000,1757000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
--,27,1577836800000,1739000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
HK,28,1577836800000,1559000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
FI,29,1577836800000,1441000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
BG,30,1577836800000,1440000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
TJ,31,1577836800000,1420000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
TM,32,1577836800000,1340000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
AT,33,1577836800000,996000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
JP,34,1577836800000,996000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
TH,35,1577836800000,988000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
KR,36,1577836800000,949000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
BR,37,1577836800000,935000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
CH,38,1577836800000,777000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
SG,39,1577836800000,771000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
AE,40,1577836800000,734000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
GR,41,1577836800000,730000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
TR,42,1577836800000,703000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
RO,43,1577836800000,694000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
RS,44,1577836800000,670000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
PH,45,1577836800000,614000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
AU,46,1577836800000,598000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
BE,47,1577836800000,588000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
ID,48,1577836800000,573000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
EG,49,1577836800000,525000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
IE,50,1577836800000,522000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
HU,51,1577836800000,516000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
SK,52,1577836800000,478000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
MY,53,1577836800000,477000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
NO,54,1577836800000,472000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
VN,55,1577836800000,447000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
PT,56,1577836800000,439000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
AR,57,1577836800000,411000,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
