country,rank,timestamp,total.total,month,timeRange.start,timeRange.end
UA,1,1735689600000,70271000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
DE,2,1735689600000,4379000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
US,3,1735689600000,3437000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
PL,4,1735689600000,3388000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
AT,5,1735689600000,2033000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
CZ,6,1735689600000,838000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
CA,7,1735689600000,551000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
GB,8,1735689600000,539000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
FR,9,1735689600000,470000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
IT,10,1735689600000,430000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
NL,11,1735689600000,417000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
ES,12,1735689600000,361000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
SG,13,1735689600000,351000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
ID,14,1735689600000,327000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
IN,15,1735689600000,321000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
PH,16,1735689600000,313000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
SK,17,1735689600000,306000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
BG,18,1735689600000,217000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
CH,19,1735689600000,167000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
BR,20,1735689600000,164000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
NO,21,1735689600000,163000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
SE,22,1735689600000,155000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
BE,23,1735689600000,148000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
RO,24,1735689600000,146000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
FI,25,1735689600000,134000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
HK,26,1735689600000,130000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
LT,27,1735689600000,126000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
IE,28,1735689600000,126000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
PT,29,1735689600000,122000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
DK,30,1735689600000,111000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
IL,31,1735689600000,105000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
--,32,1735689600000,94000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
DZ,33,1735689600000,93000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
HU,34,1735689600000,90000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
EE,35,1735689600000,85000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
JP,36,1735689600000,70000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
LV,37,1735689600000,70000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
MD,38,1735689600000,67000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
HR,39,1735689600000,53000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
GE,40,1735689600000,52000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
TH,41,1735689600000,50000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
GR,42,1735689600000,46000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
KR,43,1735689600000,42000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
MA,44,1735689600000,40000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
MX,45,1735689600000,39000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
CY,46,1735689600000,36000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
RS,47,1735689600000,35000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
AU,48,1735689600000,34000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
SI,49,1735689600000,28000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
KH,50,1735689600000,24000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
AR,51,1735689600000,20000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
JO,52,1735689600000,19000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
ZA,53,1735689600000,18000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
