country,rank,timestamp,total.total,month,timeRange.start,timeRange.end
RU,1,1514764800000,601661000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
UA,2,1514764800000,115613000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
BY,3,1514764800000,36607000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
KZ,4,1514764800000,35838000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
US,5,1514764800000,18515000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
DE,6,1514764800000,17158000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
IN,7,1514764800000,11068000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
IL,8,1514764800000,6712000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
FR,9,1514764800000,6092000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
UZ,10,1514764800000,5968000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
CA,11,1514764800000,5719000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
BR,12,1514764800000,5614000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
GB,13,1514764800000,5527000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
KG,14,1514764800000,5522000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
AZ,15,1514764800000,5252000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
PL,16,1514764800000,5238000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
PH,17,1514764800000,4987000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
MD,18,1514764800000,4986000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
LV,19,1514764800000,4961000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
NL,20,1514764800000,4450000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
IT,21,1514764800000,4400000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
AM,22,1514764800000,4175000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
CN,23,1514764800000,3423000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
ES,24,1514764800000,3295000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
PK,25,1514764800000,3210000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
RO,26,1514764800000,3018000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
EE,27,1514764800000,2991000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
GE,28,1514764800000,2789000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
MY,29,1514764800000,2730000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
CZ,30,1514764800000,2358000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
KR,31,1514764800000,2308000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
LT,32,1514764800000,2262000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
ID,33,1514764800000,2260000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
RS,34,1514764800000,2095000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
JP,35,1514764800000,1878000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
DZ,36,1514764800000,1791000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
TJ,37,1514764800000,1764000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
BG,38,1514764800000,1745000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
EG,39,1514764800000,1657000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
TH,40,1514764800000,1634000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
AU,41,1514764800000,1581000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
--,42,1514764800000,1476000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
AR,43,1514764800000,1399000,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
