country,rank,timestamp,total.total,month,timeRange.start,timeRange.end
UA,1,1735689600000,90897000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
DE,2,1735689600000,29944000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
US,3,1735689600000,21516000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
NL,4,1735689600000,16765000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
FR,5,1735689600000,13840000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
PL,6,1735689600000,11278000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
GB,7,1735689600000,7646000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
KG,8,1735689600000,6625000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
IL,9,1735689600000,6035000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
LV,10,1735689600000,5931000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
AT,11,1735689600000,5187000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
FI,12,1735689600000,5144000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
MD,13,1735689600000,5033000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
AM,14,1735689600000,4751000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
GE,15,1735689600000,3996000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
CZ,16,1735689600000,3981000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
EE,17,1735689600000,3412000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
SE,18,1735689600000,3301000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
ID,19,1735689600000,3116000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
ES,20,1735689600000,3112000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
LT,21,1735689600000,3105000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
CA,22,1735689600000,2985000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
IT,23,1735689600000,2419000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
BG,24,1735689600000,2150000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
DK,25,1735689600000,2028000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
RS,26,1735689600000,1990000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
CH,27,1735689600000,1539000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
TH,28,1735689600000,1475000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
NO,29,1735689600000,1409000,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
