country,rank,timestamp,total.total,month,timeRange.start,timeRange.end
RU,1,1672531200000,638697000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
UA,2,1672531200000,99759000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
KZ,3,1672531200000,46046000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
BY,4,1672531200000,38180000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
DE,5,1672531200000,21617000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
US,6,1672531200000,13282000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
UZ,7,1672531200000,10970000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
PL,8,1672531200000,10586000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
NL,9,1672531200000,9124000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
KG,10,1672531200000,7372000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
IL,11,1672531200000,6856000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
FR,12,1672531200000,6489000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
AM,13,1672531200000,6014000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
AZ,14,1672531200000,5917000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
GB,15,1672531200000,5779000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
MD,16,1672531200000,5767000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
GE,17,1672531200000,5332000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
LV,18,1672531200000,5088000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
TR,19,1672531200000,5018000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
CZ,20,1672531200000,4138000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
EE,21,1672531200000,3466000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
IT,22,1672531200000,3224000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
CA,23,1672531200000,2882000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
LT,24,1672531200000,2834000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
ES,25,1672531200000,2776000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
FI,26,1672531200000,2696000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
SE,27,1672531200000,2683000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
TM,28,1672531200000,2300000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
TJ,29,1672531200000,1902000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
BG,30,1672531200000,1778000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
TH,31,1672531200000,1629000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
RS,32,1672531200000,1546000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
AT,33,1672531200000,1519000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
CH,34,1672531200000,1435000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
RO,35,1672531200000,1191000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
AE,36,1672531200000,1083000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
BE,37,1672531200000,1039000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
ID,38,1672531200000,917000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
CY,39,1672531200000,914000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
SK,40,1672531200000,885000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
JP,41,1672531200000,825000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
NO,42,1672531200000,799000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
GR,43,1672531200000,786000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
KR,44,1672531200000,783000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
IE,45,1672531200000,767000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
HU,46,1672531200000,742000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
IN,47,1672531200000,735000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
--,48,1672531200000,729000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
ME,49,1672531200000,716000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
SG,50,1672531200000,682000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
PT,51,1672531200000,638000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
BR,52,1672531200000,631000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
MX,53,1672531200000,525000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
DK,54,1672531200000,512000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
EG,55,1672531200000,501000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
AU,56,1672531200000,477000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
VN,57,1672531200000,410000,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
