country,rank,timestamp,total.total,month,timeRange.start,timeRange.end
RU,1,1546300800000,560338000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
UA,2,1546300800000,127312000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
KZ,3,1546300800000,37302000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
BY,4,1546300800000,36898000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
US,5,1546300800000,16365000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
DE,6,1546300800000,13670000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
FR,7,1546300800000,7548000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
UZ,8,1546300800000,6740000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
KG,9,1546300800000,6364000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
IN,10,1546300800000,6051000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
IL,11,1546300800000,6001000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
NL,12,1546300800000,5935000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
AZ,13,1546300800000,5239000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
PL,14,1546300800000,5169000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
MD,15,1546300800000,4951000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
LV,16,1546300800000,4925000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
AM,17,1546300800000,3941000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
GB,18,1546300800000,3940000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
IT,19,1546300800000,3542000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
CN,20,1546300800000,3235000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
EE,21,1546300800000,3098000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
BR,22,1546300800000,2980000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
LT,23,1546300800000,2826000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
CA,24,1546300800000,2762000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
ES,25,1546300800000,2731000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
GE,26,1546300800000,2669000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
CZ,27,1546300800000,2247000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
PH,28,1546300800000,2233000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
BG,29,1546300800000,1825000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
TJ,30,1546300800000,1803000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
--,31,1546300800000,1557000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
JP,32,1546300800000,1536000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
RS,33,1546300800000,1502000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
ID,34,1546300800000,1397000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
RO,35,1546300800000,1371000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
FI,36,1546300800000,1367000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
TM,37,1546300800000,1303000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
KR,38,1546300800000,1300000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
PK,39,1546300800000,1278000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
MY,40,1546300800000,1264000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
TH,41,1546300800000,1229000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
SE,42,1546300800000,1188000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
GR,43,1546300800000,1114000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
AE,44,1546300800000,1099000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
AU,45,1546300800000,1078000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
AR,46,1546300800000,998000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
AT,47,1546300800000,996000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
EG,48,1546300800000,913000,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
